cityID,time,t,fid,x,y,PC1,PC2,PC3,PC4,co2_norm
22,2020,5,146,102.6923498,30.62979532,1.837012393,0.465780615,-0.390629988,-0.73057253,0.7898361664984934
23,2020,5,147,106.8741124,26.81589901,-0.760458879,-1.78262226,-2.823448119,-1.505261174,0.9548996016059949
24,2020,5,148,101.861664,24.22399975,0.894836664,0.174306072,-0.864446282,-0.479409091,0.9362823615746654
25,2020,5,149,88.44235547,31.49119642,-8.31387868,-0.636739291,0.303976658,1.007331014,0.23636121470421512
26,2020,5,150,108.367283,33.77575343,1.003229676,1.165883498,-0.229224646,1.818476406,0.7572163047533028
27,2020,5,151,96.43045075,40.50407365,-0.72237964,0.674903845,-0.261500524,1.385731971,0.2803262967797778
28,2020,5,152,96.03756481,35.67094527,-3.634966689,-2.140359773,-3.268393622,0.657823929,0.20368754958756408
29,2020,5,153,105.9722025,37.19338985,-1.186318026,0.013946764,0.359415525,0.073782583,0.5557136835568978
30,2020,5,154,85.19105645,41.11736074,-2.644477202,-1.925528063,4.243941636,0.884236203,0.02205097204091661
0,2023,6,155,116.4104734,40.18506957,-3.854848759,0.130918942,4.215524821,1.329712884,0.687661263956609
1,2023,6,156,117.3328025,39.2945395,-0.580710675,2.861220014,1.907815651,1.821071095,0.31019724760500245
2,2023,6,157,115.0556983,38.8862,0.496255713,3.168145806,0.86029399,2.626467571,0.7119687554479875
3,2023,6,158,112.2910057,37.57371516,0.26734903,3.325633848,-1.359035806,1.257219355,0.7999455199843822
4,2023,6,159,111.624073,41.58407166,0.307588583,3.068954608,-0.517645361,0.337053253,0.39648169650270365
5,2023,6,160,124.0472795,41.55091067,-0.660064674,3.500827066,1.104497905,-0.894094106,0.8438625317235752
6,2023,6,161,126.1893961,43.66493432,0.067426784,4.553774654,0.028908507,-1.165623673,0.8568689036755833
7,2023,6,162,128.135853,46.95166178,3.662858827,3.97334447,-2.114883075,-0.610368326,0.8504793521452074
8,2023,6,163,121.4151598,31.08465728,-2.188190565,-3.139376466,3.231731555,-2.303245296,0.2459150388209532
9,2023,6,164,120.5538215,32.20300618,1.754112133,0.074389025,1.788887251,1.112197579,0.43033205935689633
10,2023,6,165,120.0709758,29.17555776,-2.595959904,-2.334035546,2.286189971,-1.125134904,0.901454051468046
11,2023,6,166,117.2258163,31.82631484,2.176299551,1.254328758,0.46093629,1.715373816,0.736529828933782
12,2023,6,167,117.9817861,26.08380415,-2.313677891,-2.911822998,2.798846662,-2.129829548,0.930610927445626
13,2023,6,168,111.7080139,27.60713887,0.487358144,-1.98483266,-1.204468842,-3.474542947,0.9640372556961312
14,2023,6,169,115.7205187,27.61361806,1.000435336,2.734954171,1.828631653,3.246550526,0.9342481133322513
15,2023,6,170,118.1537918,36.35127141,3.165075504,2.07051811,0.998703396,3.07615514,0.5987423473211074
16,2023,6,171,113.6135136,33.88226127,1.510252794,-0.765641671,0.117017658,-0.4278678,0.7428276496447194
17,2023,6,172,112.268591,30.97568911,0.743725774,-1.626600498,-0.014711178,-2.563480906,0.8659017434030253
18,2023,6,173,113.4276925,23.71031747,-0.130972638,-2.708457492,0.786200511,-2.537874929,0.8797644164391036
19,2023,6,174,108.7866601,23.82858447,0.230816833,-2.122851166,-0.522523772,-1.783223003,0.9844902885287081
20,2023,6,175,109.74311,19.19713384,-4.037160281,-4.007677076,3.893636441,-1.903302487,0.9443712849606146
21,2023,6,176,107.8751823,30.05912925,-0.179990398,-1.139115316,-1.751730841,-1.710891722,0.9252476147870082
22,2023,6,177,102.6923498,30.62979532,1.749268132,0.27282892,-1.370952854,-0.639931554,0.7884406522766885
23,2023,6,178,106.8741124,26.81589901,-0.873910136,-1.50249613,-3.592225138,-1.205429023,0.9541220945674186
24,2023,6,179,101.861664,24.22399975,0.628970654,0.202585994,-1.472593592,-0.448282093,0.9357194809446863
25,2023,6,180,88.44235547,31.49119642,-9.004136269,-0.391104022,0.089900218,1.219201095,0.23606036998097174
26,2023,6,181,108.367283,33.77575343,0.979862331,1.097840675,-0.571695213,1.76748598,0.7545230352081702
27,2023,6,182,96.43045075,40.50407365,-0.988375349,0.638046325,-0.225032023,1.382723872,0.2808044290462111
28,2023,6,183,96.03756481,35.67094527,-3.706971052,-2.090612409,-3.63935693,0.52846862,0.20357479688679705
29,2023,6,184,105.9722025,37.19338985,-1.864084672,0.146585674,0.305969066,0.084363049,0.5525889551389253
30,2023,6,185,85.19105645,41.11736074,-3.298438511,-1.574821295,5.194149181,1.171315546,0.02166332117311962
