cityID,time,t,fid,x,y,water,PC1,PC2,PC3,PC4,water_norm
29,2005,2,60,105.9722025,37.19338985,193008.8438,0.194427246,0.093200813,-2.362733965,1.345807698,0.13127733920087886
30,2005,3,61,85.19105645,41.11736074,72199.79688,-2.732558458,-1.901356192,1.999907971,1.022498898,0.040552616655711554
0,2010,3,62,116.4104734,40.18506957,385253.9375,-2.662375619,1.954406384,3.109197983,1.948358198,0.275648834807097
1,2010,3,63,117.3328025,39.2945395,207680.0156,-2.844561174,1.42456456,3.694400904,2.757799693,0.1422950404815528
2,2010,3,64,115.0556983,38.8862,386077.3125,0.142200844,2.207986068,0.5821779,2.928867672,0.2762671698600595
3,2010,3,65,112.2910057,37.57371516,361227.4688,0.393783726,2.681354445,-2.415040607,1.964317818,0.2576055279346315
4,2010,3,66,111.624073,41.58407166,249263.4688,0.544309285,2.104313676,-1.946124122,0.47593588,0.17352322537517423
5,2010,3,67,124.0472795,41.55091067,610400.4375,-0.099354695,2.48704234,0.639140625,-0.598228535,0.44472850446165424
6,2010,3,68,126.1893961,43.66493432,577302.125,0.93692093,3.552058663,-0.306789514,-0.925865167,0.4198724585376745
7,2010,3,69,128.135853,46.95166178,330214.3125,3.671334515,3.212154301,-2.499113898,-0.681215737,0.23431538475164107
8,2010,3,70,121.4151598,31.08465728,218620,-1.655587908,-2.897072114,2.833278432,-0.87052206,0.15051070871702618
9,2010,3,71,120.5538215,32.20300618,756069.9375,1.952612444,-0.409369348,1.82879745,0.756097122,0.5541228363244393
10,2010,3,72,120.0709758,29.17555776,850360.125,-2.36235985,-2.417672946,2.409268021,-1.931130565,0.6249325258118008
11,2010,3,73,117.2258163,31.82631484,340470.0313,2.515697387,0.232286467,-0.150190043,1.013178951,0.2420171857868516
12,2010,3,74,117.9817861,26.08380415,873921.1875,-1.246545029,-2.784744396,2.060085169,-2.402963197,0.6426263236910056
13,2010,3,75,111.7080139,27.60713887,824522.125,0.310700614,-2.044457571,-0.824653348,-3.544601154,0.6055288019940447
14,2010,3,76,115.7205187,27.61361806,861420,0.638240019,1.38104072,2.643889796,2.995104766,0.6332382290380144
15,2010,3,77,118.1537918,36.35127141,509110.5,2.996014018,1.269248079,0.87438646,2.902562476,0.36866216911186755
