cityID,time,t,fid,x,y,soil,PC1,PC2,PC3,PC4,es
9,2020,5,133,120.5538215,32.20300618,335.9736938,1.561834692,0.071461993,2.317676191,1.147598988,0.009990113717487325
10,2020,5,134,120.0709758,29.17555776,17384.5293,-3.177973773,-2.316966906,3.282137968,-1.283432763,0.6658744000469968
11,2020,5,135,117.2258163,31.82631484,6122.549316,2.234709873,1.276512301,0.91087766,1.630064059,0.23260862228358253
12,2020,5,136,117.9817861,26.08380415,18003.13086,-2.876056655,-2.954118474,4.560866955,-1.996651011,0.6896729582401245
13,2020,5,137,111.7080139,27.60713887,10584.07129,0.587693277,-2.037184146,-0.881696539,-3.660257653,0.40425026885194265
14,2020,5,138,115.7205187,27.61361806,9279.913086,1.08336607,2.61269681,1.974221016,3.239908942,0.3540772868909229
15,2020,5,139,118.1537918,36.35127141,1126.529785,3.299666434,1.959655199,1.346209734,3.034012506,0.04040402851808149
16,2020,5,140,113.6135136,33.88226127,1865.550293,1.673990167,-0.710383188,0.711251978,-0.561076922,0.06883528977379619
17,2020,5,141,112.268591,30.97568911,11294.04102,0.474667062,-1.591926807,0.680956458,-2.594245264,0.4315639017738578
18,2020,5,142,113.4276925,23.71031747,9239.363281,-0.321379402,-2.7437788,1.429336728,-2.507681148,0.3525172732142479
19,2020,5,143,108.7866601,23.82858447,9495.21582,0.03781328,-2.074788632,0.146944658,-1.823714852,0.36236031586394785
20,2020,5,144,109.74311,19.19713384,8213.397461,-3.405197631,-4.058668779,4.152199462,-2.034713964,0.31304678227104726
21,2020,5,145,107.8751823,30.05912925,17725.56641,-0.059734885,-0.966805023,-0.558542073,-1.947221761,0.6789946248138905
22,2020,5,146,102.6923498,30.62979532,13987.92676,1.837012393,0.465780615,-0.390629988,-0.73057253,0.5352018501634906
23,2020,5,147,106.8741124,26.81589901,10406.44824,-0.760458879,-1.78262226,-2.823448119,-1.505261174,0.3974168355643418
24,2020,5,148,101.861664,24.22399975,15586.39355,0.894836664,0.174306072,-0.864446282,-0.479409091,0.5966973383442783
25,2020,5,149,88.44235547,31.49119642,8614.995117,-8.31387868,-0.636739291,0.303976658,1.007331014,0.3284968648517307
26,2020,5,150,108.367283,33.77575343,5870.637695,1.003229676,1.165883498,-0.229224646,1.818476406,0.2229171928408673
27,2020,5,151,96.43045075,40.50407365,2955.537354,-0.72237964,0.674903845,-0.261500524,1.385731971,0.11076877681667488
28,2020,5,152,96.03756481,35.67094527,2503.273682,-3.634966689,-2.140359773,-3.268393622,0.657823929,0.09336949428539652
29,2020,5,153,105.9722025,37.19338985,703.9073486,-1.186318026,0.013946764,0.359415525,0.073782583,0.024145090137152186
